support,itemsets
0.14258102653942892,frozenset({'云闪付'})
0.1429826260504503,frozenset({'信用卡'})
0.14307129646767475,frozenset({'储蓄卡'})
0.1648096096923366,frozenset({'家具'})
0.13958545862549374,frozenset({'平板电脑'})
0.1427325410387639,frozenset({'微信支付'})
0.1596582601945871,frozenset({'摄像机'})
0.1430471918882351,frozenset({'支付宝'})
0.1308795445382323,frozenset({'智能手机'})
0.1427648239576563,frozenset({'现金'})
0.2510028509404373,frozenset({'相机'})
0.25296091758099065,frozenset({'笔记本电脑'})
0.14282049405779074,frozenset({'银联'})
0.02355017411254256,"frozenset({'云闪付', '家具'})"
0.019898473807074407,"frozenset({'云闪付', '平板电脑'})"
0.02274927076473213,"frozenset({'摄像机', '云闪付'})"
0.018670001133489152,"frozenset({'云闪付', '智能手机'})"
0.03578568733203915,"frozenset({'相机', '云闪付'})"
0.03606245955667661,"frozenset({'笔记本电脑', '云闪付'})"
0.023578726560807388,"frozenset({'信用卡', '家具'})"
0.019963039644859196,"frozenset({'信用卡', '平板电脑'})"
0.022772370986695132,"frozenset({'信用卡', '摄像机'})"
0.01870888411579955,"frozenset({'信用卡', '智能手机'})"
0.035869909880438415,"frozenset({'信用卡', '相机'})"
0.03620134784773367,"frozenset({'信用卡', '笔记本电脑'})"
0.023584322266748736,"frozenset({'家具', '储蓄卡'})"
0.01996318312449872,"frozenset({'平板电脑', '储蓄卡'})"
0.02288600686119636,"frozenset({'摄像机', '储蓄卡'})"
0.018728253867134986,"frozenset({'储蓄卡', '智能手机'})"
0.035881962170158245,"frozenset({'相机', '储蓄卡'})"
0.03619130427296714,"frozenset({'笔记本电脑', '储蓄卡'})"
0.023508134578162684,"frozenset({'微信支付', '家具'})"
0.023633966222023264,"frozenset({'支付宝', '家具'})"
0.02345447319298155,"frozenset({'现金', '家具'})"
0.023499812759070423,"frozenset({'银联', '家具'})"
0.019919708793723626,"frozenset({'微信支付', '平板电脑'})"
0.019937787228303368,"frozenset({'支付宝', '平板电脑'})"
0.01998556594826411,"frozenset({'现金', '平板电脑'})"
0.019917700078770324,"frozenset({'银联', '平板电脑'})"
0.02288170247201071,"frozenset({'摄像机', '微信支付'})"
0.018650487902514192,"frozenset({'微信支付', '智能手机'})"
0.03588153173123968,"frozenset({'相机', '微信支付'})"
0.03610162949826605,"frozenset({'笔记本电脑', '微信支付'})"
0.022833636792770923,"frozenset({'支付宝', '摄像机'})"
0.02280738001873844,"frozenset({'现金', '摄像机'})"
0.02272789229844339,"frozenset({'银联', '摄像机'})"
0.0186999883781492,"frozenset({'支付宝', '智能手机'})"
0.03588024041448398,"frozenset({'支付宝', '相机'})"
0.03613219066148418,"frozenset({'支付宝', '笔记本电脑'})"
0.01867071853168676,"frozenset({'现金', '智能手机'})"
0.018751210609458464,"frozenset({'银联', '智能手机'})"
0.03583604868551128,"frozenset({'现金', '相机'})"
0.036143095114087836,"frozenset({'现金', '笔记本电脑'})"
0.013274879728192171,"frozenset({'笔记本电脑', '相机'})"
0.03586747072656655,"frozenset({'银联', '相机'})"
0.03612889062977518,"frozenset({'银联', '笔记本电脑'})"
